id,rule,severity,component,project,hash,message,resolution,status,effort,debt,author,creationDate,updateDate,closeDate,type,organization,cleanCodeAttribute,cleanCodeAttributeCategory,tags,impacts
AZgQN2SXQ0DfBZIF2SIk,java:S2629,MAJOR,Jayak-Patel_spring-integration-samples:advanced/dynamic-tcp-client/src/main/java/org/springframework/integration/samples/dynamictcp/DynamicTcpClientApplication.java,Jayak-Patel_spring-integration-samples,d7378519da12f5bc629297c55d6781c7,Invoke method(s) only conditionally.,,OPEN,5min,5min,jayakpatel1@gmail.com,2025-07-15T22:31:22+0000,2025-07-15T22:31:22+0000,,CODE_SMELL,jayak-patel,EFFICIENT,INTENTIONAL,"[""performance""]","[{""softwareQuality"": ""MAINTAINABILITY"", ""severity"": ""MEDIUM""}]"
AZgQN2SXQ0DfBZIF2SIl,java:S2629,MAJOR,Jayak-Patel_spring-integration-samples:advanced/dynamic-tcp-client/src/main/java/org/springframework/integration/samples/dynamictcp/DynamicTcpClientApplication.java,Jayak-Patel_spring-integration-samples,a9f672a0392c4546d80f4778f0d5c0fe,Invoke method(s) only conditionally.,,OPEN,5min,5min,jayakpatel1@gmail.com,2025-07-15T22:31:22+0000,2025-07-15T22:31:22+0000,,CODE_SMELL,jayak-patel,EFFICIENT,INTENTIONAL,"[""performance""]","[{""softwareQuality"": ""MAINTAINABILITY"", ""severity"": ""MEDIUM""}]"
AZgQN2SXQ0DfBZIF2SIm,java:S2629,MAJOR,Jayak-Patel_spring-integration-samples:advanced/dynamic-tcp-client/src/main/java/org/springframework/integration/samples/dynamictcp/DynamicTcpClientApplication.java,Jayak-Patel_spring-integration-samples,a1655243a4a517eab522dedfc846f3c0,Invoke method(s) only conditionally.,,OPEN,5min,5min,jayakpatel1@gmail.com,2025-07-15T22:31:22+0000,2025-07-15T22:31:22+0000,,CODE_SMELL,jayak-patel,EFFICIENT,INTENTIONAL,"[""performance""]","[{""softwareQuality"": ""MAINTAINABILITY"", ""severity"": ""MEDIUM""}]"
AZgQN2SXQ0DfBZIF2SIn,java:S2629,MAJOR,Jayak-Patel_spring-integration-samples:advanced/dynamic-tcp-client/src/main/java/org/springframework/integration/samples/dynamictcp/DynamicTcpClientApplication.java,Jayak-Patel_spring-integration-samples,7dcd81d0d8c8719703c76eaf9d87bc55,Invoke method(s) only conditionally.,,OPEN,5min,5min,jayakpatel1@gmail.com,2025-07-15T22:31:22+0000,2025-07-15T22:31:22+0000,,CODE_SMELL,jayak-patel,EFFICIENT,INTENTIONAL,"[""performance""]","[{""softwareQuality"": ""MAINTAINABILITY"", ""severity"": ""MEDIUM""}]"
AZgQN2OLQ0DfBZIF2SIi,java:S1598,CRITICAL,Jayak-Patel_spring-integration-samples:applications/cafe-scripted/src/main/java/org/springframework/integration/samples/cafe/demo/CafeDemoApp.java,Jayak-Patel_spring-integration-samples,85e34fae419186e479f8aa36d9b67421,"File path ""/tmp/clone679835341612839641/applications/cafe-scripted/src/main/java/org/springframework/integration/samples/cafe/demo"" should match package name ""org.springframework.integration.sts"". Move the file or change the package name.",,OPEN,5min,5min,jayakpatel1@gmail.com,2025-07-15T22:31:22+0000,2025-07-15T22:31:22+0000,,CODE_SMELL,jayak-patel,CONVENTIONAL,CONSISTENT,"[""pitfall""]","[{""softwareQuality"": ""MAINTAINABILITY"", ""severity"": ""HIGH""}]"
AZgQN2QOQ0DfBZIF2SIj,java:S1598,CRITICAL,Jayak-Patel_spring-integration-samples:applications/file-split-ftp/src/test/java/org/springframework/integration/samples/filesplit/ApplicationTests.java,Jayak-Patel_spring-integration-samples,85e34fae419186e479f8aa36d9b67421,"File path ""/tmp/clone679835341612839641/applications/file-split-ftp/src/test/java/org/springframework/integration/samples/filesplit"" should match package name ""org.springframework.integration.sts"". Move the file or change the package name.",,OPEN,5min,5min,jayakpatel1@gmail.com,2025-07-15T22:31:22+0000,2025-07-15T22:31:22+0000,,CODE_SMELL,jayak-patel,CONVENTIONAL,CONSISTENT,"[""pitfall""]","[{""softwareQuality"": ""MAINTAINABILITY"", ""severity"": ""HIGH""}]"
AZgQN1x4Q0DfBZIF2SIE,java:S1598,CRITICAL,Jayak-Patel_spring-integration-samples:basic/amqp/src/main/java/org/springframework/integration/samples/amqp/SamplePubConfirmsReturns.java,Jayak-Patel_spring-integration-samples,85e34fae419186e479f8aa36d9b67421,"File path ""/tmp/clone679835341612839641/basic/amqp/src/main/java/org/springframework/integration/samples/amqp"" should match package name ""org.springframework.integration.sts"". Move the file or change the package name.",,OPEN,5min,5min,jayakpatel1@gmail.com,2025-07-15T22:31:22+0000,2025-07-15T22:31:22+0000,,CODE_SMELL,jayak-patel,CONVENTIONAL,CONSISTENT,"[""pitfall""]","[{""softwareQuality"": ""MAINTAINABILITY"", ""severity"": ""HIGH""}]"
AZgQN1xsQ0DfBZIF2SID,java:S1598,CRITICAL,Jayak-Patel_spring-integration-samples:basic/amqp/src/main/java/org/springframework/integration/samples/amqp/SampleSimple.java,Jayak-Patel_spring-integration-samples,85e34fae419186e479f8aa36d9b67421,"File path ""/tmp/clone679835341612839641/basic/amqp/src/main/java/org/springframework/integration/samples/amqp"" should match package name ""org.springframework.integration.sts"". Move the file or change the package name.",,OPEN,5min,5min,jayakpatel1@gmail.com,2025-07-15T22:31:22+0000,2025-07-15T22:31:22+0000,,CODE_SMELL,jayak-patel,CONVENTIONAL,CONSISTENT,"[""pitfall""]","[{""softwareQuality"": ""MAINTAINABILITY"", ""severity"": ""HIGH""}]"
AZgQN1xGQ0DfBZIF2SIC,java:S1598,CRITICAL,Jayak-Patel_spring-integration-samples:basic/barrier/src/test/java/org/springframework/integration/samples/barrier/ApplicationTests.java,Jayak-Patel_spring-integration-samples,85e34fae419186e479f8aa36d9b67421,"File path ""/tmp/clone679835341612839641/basic/barrier/src/test/java/org/springframework/integration/samples/barrier"" should match package name ""org.springframework.integration.sts"". Move the file or change the package name.",,OPEN,5min,5min,jayakpatel1@gmail.com,2025-07-15T22:31:22+0000,2025-07-15T22:31:22+0000,,CODE_SMELL,jayak-patel,CONVENTIONAL,CONSISTENT,"[""pitfall""]","[{""softwareQuality"": ""MAINTAINABILITY"", ""severity"": ""HIGH""}]"
AZgQN1uyQ0DfBZIF2SIA,java:S1598,CRITICAL,Jayak-Patel_spring-integration-samples:basic/jdbc/src/main/java/org/springframework/integration/samples/jdbc/Main.java,Jayak-Patel_spring-integration-samples,85e34fae419186e479f8aa36d9b67421,"File path ""/tmp/clone679835341612839641/basic/jdbc/src/main/java/org/springframework/integration/samples/jdbc"" should match package name ""org.springframework.integration.sts"". Move the file or change the package name.",,OPEN,5min,5min,jayakpatel1@gmail.com,2025-07-15T22:31:22+0000,2025-07-15T22:31:22+0000,,CODE_SMELL,jayak-patel,CONVENTIONAL,CONSISTENT,"[""pitfall""]","[{""softwareQuality"": ""MAINTAINABILITY"", ""severity"": ""HIGH""}]"
